
CADIS,2014,7,10,1000,Eastern Cascades,Metolius River,44.2321,-121.6701,5.2,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,13.61,1.09,14.83,0.361,0.173,78.8,85.9,47.8,0.65,73.54,6,none
CADIS,2014,7,10,1000,Eastern Cascades,Metolius River,44.2321,-121.6701,5.2,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,25.74,1.09,28.06,0.668,0.321,80.2,87.4,48.1,0.59,81.53,9,none
CADIS,2014,7,10,1000,Eastern Cascades,Metolius River,44.2321,-121.6701,5.2,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,28.4,1.09,30.96,0.677,0.332,85.6,93.3,49,0.86,56.98,7,none
CADIS,2014,7,10,1000,Eastern Cascades,Metolius River,44.2321,-121.6701,5.2,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,27.82,1.09,30.33,0.673,0.321,86.7,94.5,47.7,0.89,53.6,6,none
CADIS,2014,7,10,1000,Eastern Cascades,Metolius River,44.2321,-121.6701,5.2,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,29.79,1.09,32.47,0.712,0.337,88.3,96.3,47.4,0.83,57.11,6,none
CADIS,2014,7,10,1000,Eastern Cascades,Metolius River,44.2321,-121.6701,5.2,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,30.17,1.09,32.89,0.706,0.341,88.4,96.4,48.3,1.02,47.35,-9999,none
CADIS,2014,7,10,1000,Eastern Cascades,Metolius River,44.2321,-121.6701,5.2,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,31.02,1.09,33.81,0.73,0.349,88.9,96.8,47.8,0.62,77.1,7,none
CADIS,2014,7,10,1000,Eastern Cascades,Metolius River,44.2321,-121.6701,5.2,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,27.39,1.09,29.86,0.587,0.285,96.1,104.8,48.6,0.92,52.83,8,none
CADIS,2014,7,10,1000,Eastern Cascades,Metolius River,44.2321,-121.6701,5.2,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,32.3,1.09,35.21,0.688,0.334,96.8,105.5,48.5,0.8,60.63,6,none
CADIS,2014,7,10,1000,Eastern Cascades,Metolius River,44.2321,-121.6701,5.2,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,30.36,1.09,33.09,0.528,0.257,117.9,128.5,48.8,0.78,62.56,7,none
CADIS,2014,7,15,1001,Eastern Cascades,Metolius River,44.2411,-121.6842,6.2,17,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,27.83,1.09,30.34,0.777,0.371,74.9,81.7,47.8,0.92,51.96,10,none
CADIS,2014,7,15,1001,Eastern Cascades,Metolius River,44.2411,-121.6842,6.2,17,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,20.04,1.09,21.84,0.527,0.25,80.2,87.4,47.4,0.99,47.88,13,none
CADIS,2014,7,15,1001,Eastern Cascades,Metolius River,44.2411,-121.6842,6.2,17,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,26.12,1.09,28.47,0.649,0.309,84.6,92.2,47.6,0.97,49.07,11,none
CADIS,2014,7,15,1001,Eastern Cascades,Metolius River,44.2411,-121.6842,6.2,17,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,17.46,1.09,19.04,0.43,0.203,85.9,93.7,47.3,1.02,46.37,13,none
CADIS,2014,7,15,1001,Eastern Cascades,Metolius River,44.2411,-121.6842,6.2,17,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,21.62,1.09,23.56,0.441,0.209,103.6,113,47.3,1.08,43.8,5,none
CADIS,2014,7,15,1001,Eastern Cascades,Metolius River,44.2411,-121.6842,6.2,17,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,25.66,1.09,27.97,0.493,0.235,109.1,118.9,47.7,0.97,49.18,10,none
CADIS,2014,7,15,1001,Eastern Cascades,Metolius River,44.2411,-121.6842,6.2,17,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,22.78,1.09,24.83,0.432,0.207,110.1,120,47.9,0.82,58.41,12,none
CADIS,2014,7,15,1001,Eastern Cascades,Metolius River,44.2411,-121.6842,6.2,17,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,32,1.09,34.88,0.56,0.267,119.6,130.4,47.8,0.86,55.58,9,none
CADIS,2014,7,15,1001,Eastern Cascades,Metolius River,44.2411,-121.6842,6.2,17,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,22.14,1.09,24.13,0.386,0.182,121.4,132.3,47.3,0.88,53.75,12,none
CADIS,2014,7,15,1001,Eastern Cascades,Metolius River,44.2411,-121.6842,6.2,17,evergreen needleleaf tree,gymnosperm,Pinus,ponderosa,ponderosa pine,32.67,1.18,38.54,1.021,0.507,64.4,76,49.7,1.23,40.41,6,none
CADIS,2014,7,15,1001,Eastern Cascades,Metolius River,44.2411,-121.6842,6.2,17,evergreen needleleaf tree,gymnosperm,Pinus,ponderosa,ponderosa pine,17.78,1.18,20.98,0.51,0.252,70.7,83.4,49.3,1.05,46.95,5,none
CADIS,2014,7,15,1001,Eastern Cascades,Metolius River,44.2411,-121.6842,6.2,17,evergreen needleleaf tree,gymnosperm,Pinus,ponderosa,ponderosa pine,32.77,1.18,38.67,0.812,0.399,82.2,97,49.1,1.14,43.07,6,none
CADIS,2014,7,15,1001,Eastern Cascades,Metolius River,44.2411,-121.6842,6.2,17,evergreen needleleaf tree,gymnosperm,Pinus,ponderosa,ponderosa pine,27.49,1.18,32.43,0.635,0.304,90.6,106.9,47.8,1.22,39.18,4,none
CADIS,2014,7,16,1002,Eastern Cascades,Metolius River,44.3165,-121.7562,5.4,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,28.3,1.09,30.85,0.872,0.419,67.6,73.7,48,0.79,60.76,10,none
CADIS,2014,7,16,1002,Eastern Cascades,Metolius River,44.3165,-121.7562,5.4,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,30.16,1.09,32.87,0.86,0.415,72.6,79.1,48.3,0.86,56.16,8,none
CADIS,2014,7,16,1002,Eastern Cascades,Metolius River,44.3165,-121.7562,5.4,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,32.82,1.09,35.78,0.933,0.447,73.5,80.1,47.9,0.98,48.88,10,none
CADIS,2014,7,16,1002,Eastern Cascades,Metolius River,44.3165,-121.7562,5.4,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,25.88,1.09,28.2,0.67,0.322,80.3,87.6,48.1,0.81,59.38,10,none
CADIS,2014,7,16,1002,Eastern Cascades,Metolius River,44.3165,-121.7562,5.4,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,31.51,1.09,34.35,0.717,0.349,90.2,98.3,48.7,1,48.7,8,none
CADIS,2014,7,16,1002,Eastern Cascades,Metolius River,44.3165,-121.7562,5.4,13,evergreen needleleaf tree,gymnosperm,Abies,grandis,grand fir,31.06,1.09,33.85,0.671,0.319,97.2,106,47.6,0.96,49.58,8,none
CADIS,2014,7,16,1002,Eastern Cascades,Metolius River,44.3165,-121.7562,5.4,13,evergreen needleleaf tree,gymnosperm,Abies,procera,noble fir,27.2,1.09,29.65,0.721,0.347,78.3,85.3,48.2,0.83,58.07,10,none
CADIS,2014,7,16,1002,Eastern Cascades,Metolius River,44.3165,-121.7562,5.4,13,evergreen needleleaf tree,gymnosperm,Abies,procera,noble fir,36.49,1.09,39.78,0.896,0.444,82.3,89.7,49.5,1.28,38.67,9,none
CADIS,2014,7,16,1002,Eastern Cascades,Metolius River,44.3165,-121.7562,5.4,13,evergreen needleleaf tree,gymnosperm,Abies,procera,noble fir,29.54,1.09,32.19,0.695,0.333,88.8,96.7,47.9,0.94,50.96,5,none
CADIS,2014,7,16,1002,Eastern Cascades,Metolius River,44.3165,-121.7562,5.4,13,evergreen needleleaf tree,gymnosperm,Pinus,contorta,lodgepole pine,35.32,1.29,45.56,1.093,0.542,65.1,84,49.6,1.04,47.69,5,none
CADIS,2014,7,16,1002,Eastern Cascades,Metolius River,44.3165,-121.7562,5.4,13,evergreen needleleaf tree,gymnosperm,Pinus,contorta,lodgepole pine,38.29,1.29,49.39,0.948,0.47,81.5,105.1,49.6,1.31,37.86,5,none
CADIS,2014,7,16,1002,Eastern Cascades,Metolius River,44.3165,-121.7562,5.4,13,evergreen needleleaf tree,gymnosperm,Pinus,ponderosa,ponderosa pine,38.84,1.18,45.83,1.064,0.516,75.3,88.8,48.5,1.44,33.68,3,none
CADIS,2014,7,16,1002,Eastern Cascades,Metolius River,44.3165,-121.7562,5.4,13,evergreen needleleaf tree,gymnosperm,Pinus,ponderosa,ponderosa pine,27.96,1.18,32.99,0.73,0.355,78.7,92.9,48.7,1.47,33.13,4,none
